n,repeat,trivial_time,trivial_avg_time,optimized_time,optimized_avg_time
20,250000,0.764009,3.05603e-06,0.674652,2.69861e-06
40,62500,0.439033,7.02453e-06,0.383735,6.13976e-06
60,27777,0.344939,1.24181e-05,0.300833,1.08303e-05
80,15625,0.327705,2.09732e-05,0.28192,1.80429e-05
100,10000,0.305878,3.05878e-05,0.276346,2.76346e-05
200,2500,0.261826,0.000104731,0.255659,0.000102264
400,625,0.266418,0.000426268,0.241365,0.000386184
500,400,0.340301,0.000850753,0.250465,0.000626164
750,177,0.398446,0.00225111,0.269483,0.00152251
1000,100,0.476307,0.00476307,0.267533,0.00267533
1500,44,0.387865,0.00881511,0.238161,0.00541275
2000,25,0.548179,0.0219272,0.243962,0.00975847
2500,16,0.482905,0.0301816,0.241297,0.0150811
5000,4,0.719831,0.179958,0.269846,0.0674614
7500,1,0.411219,0.411219,0.14305,0.14305
10000,1,0.782853,0.782853,0.262019,0.262019
20000,1,3.9321,3.9321,0.992413,0.992413
30000,1,9.00317,9.00317,2.12298,2.12298
